업소명,민박업소형태,주소,지번주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude,coord_duplicate_count
아리아하우스,외국인관광도시민박업,"[157855] 서울특별시 강서구 방화대로37길 26, 102동 1101호 (방화동, 방화현대아파트)",서울 강서구 방화동 793,CDFI3261142012000002,2012-12-11,영업/정상(영업중),37.5708039187178,126.81400178458,2
선 스테이 창경,외국인관광도시민박업,"서울특별시 종로구 성균관로1길 12, 101호 (명륜3가)",서울 종로구 명륜3가 143-4,CDFI2262212026000026,2026-03-09,영업/정상(영업중),37.5831376272952,126.997690408623,3
혜화 갤러리 아트,외국인관광도시민박업,"서울특별시 종로구 성균관로 62-11, 102호 (명륜1가)",서울 종로구 명륜1가 16-11,CDFI2262212026000025,2026-03-09,영업/정상(영업중),37.5881423639529,126.997255931164,2
스테이 지음,외국인관광도시민박업,"서울특별시 강서구 공항대로8가길 2-16, B01호 (공항동)",서울 강서구 공항동 40-33,CDFI2262212026000021,2026-03-10,영업/정상(영업중),37.5586236823038,126.812775902774,3
메모리스테이 연남2호점,외국인관광도시민박업,"서울특별시 마포구 연남로7길 26, 1층 102호 (연남동)",서울 마포구 연남동 370-5,CDFI2262212026000122,2026-03-04,영업/정상(영업중),37.5636921635547,126.918870101814,3
해피하우스,외국인관광도시민박업,"[157839] 서울특별시 강서구 양천로62길 41, 201동 1408호 (등촌동)",서울 강서구 등촌동 712,CDFI3261142013000002,2013-02-21,영업/정상(영업중),37.5558425017385,126.859990044713,2
명륜 홈스테이,외국인관광도시민박업,"서울특별시 종로구 명륜2길 40-18, 301호 (명륜3가)",서울 종로구 명륜3가 1-839,CDFI2262212026000023,2026-03-09,영업/정상(영업중),37.5896287855775,126.996000889639,2
김사장 하우스-DDM,외국인관광도시민박업,"서울특별시 동대문구 천호대로24길 38, B101호 (용두동)",서울 동대문구 용두동 129-130,CDFI2262212026000010,2026-03-10,영업/정상(영업중),37.5721915610926,127.033577335014,2
제이씨하우스(JC House),외국인관광도시민박업,"[157851] 서울특별시 강서구 금낭화로7길 32, 5층 (방화동)",서울 강서구 방화동 592-39,CDFI3261142015000001,2015-03-04,영업/정상(영업중),37.5687182479511,126.810010116381,2
stay 다온,외국인관광도시민박업,"서울특별시 강동구 올림픽로62길 9-14, 8층 803호 (성내동)",서울 강동구 성내동 81-1,CDFI2262212026000015,2026-03-09,영업/정상(영업중),37.5369625268254,127.123801201293,14
명륜2길 HOME,외국인관광도시민박업,"서울특별시 종로구 명륜2길 40-18, 101호 (명륜3가)",서울 종로구 명륜3가 1-839,CDFI2262212026000024,2026-03-09,영업/정상(영업중),37.5896287855775,126.996000889639,2
더심플하우스,외국인관광도시민박업,"[157811] 서울특별시 강서구 공항대로5길 34, 3층 (공항동)",서울 강서구 공항동 24-4,CDFI3261142014000005,2014-08-14,영업/정상(영업중),37.561733670329,126.812959852169,3
아삼스테이,외국인관광도시민박업,"서울특별시 용산구 소월로30길 13, 101호 (용산동2가)",서울 용산구 용산동2가 5-1927,CDFI2262212026000038,2026-03-06,영업/정상(영업중),37.5458379994236,126.988422041146,2
자갈스테이 성내,외국인관광도시민박업,"서울특별시 강동구 올림픽로62길 9-14, 7층 701호 (성내동)",서울 강동구 성내동 81-1,CDFI2262212026000016,2026-03-10,영업/정상(영업중),37.5369625268254,127.123801201293,14
더코지코너,외국인관광도시민박업,"서울특별시 강남구 봉은사로24길 20, B102호 (역삼동)",서울 강남구 역삼동 610-3,CDFI2262212026000084,2026-03-10,영업/정상(영업중),37.5055384788168,127.032521887847,2
숨 스테이,외국인관광도시민박업,"서울특별시 강동구 성안로27길 4-5, 2층 203호 (천호동)",서울 강동구 천호동 121-95,CDFI2262212026000018,2026-03-10,영업/정상(영업중),37.5394370805679,127.135885201491,2
시크릿가든 이태원,외국인관광도시민박업,"서울특별시 용산구 녹사평대로26나길 18, 1층 (이태원동)",서울 용산구 이태원동 96-113,CDFI2262212026000040,2026-03-06,영업/정상(영업중),37.5320978018657,126.9940036824,2
샤론,외국인관광도시민박업,"[157839] 서울특별시 강서구 화곡로68길 115, 102동 1206호 (등촌동, 등촌우성아파트)",서울 강서구 등촌동 630-11,CDFI3261142013000006,2013-10-22,영업/정상(영업중),37.5573285674133,126.860337997066,2
연희포레스트 그린,외국인관광도시민박업,"서울특별시 서대문구 연희로15길 5, 403호 (연희동)",서울 서대문구 연희동 137-11,CDFI2262212026000047,2026-03-11,영업/정상(영업중),37.5678468950266,126.931163690153,4
스테이마루,외국인관광도시민박업,"서울특별시 송파구 오금로23길 8-3, 203호 (방이동)",서울 송파구 방이동 122-11,CDFI2262212026000026,2026-03-11,영업/정상(영업중),37.5093594324361,127.116168943696,2
제뉴어리 연희,외국인관광도시민박업,"서울특별시 서대문구 연희로15길 5, 303호 (연희동)",서울 서대문구 연희동 137-11,CDFI2262212026000046,2026-03-11,영업/정상(영업중),37.5678468950266,126.931163690153,4
스테이온기,외국인관광도시민박업,"서울특별시 송파구 백제고분로44길 21-1, 대중빌라 102호 (송파동)",서울 송파구 송파동 118-31,CDFI2262212026000027,2026-03-11,영업/정상(영업중),37.5067470427891,127.112840781,3
마루온,외국인관광도시민박업,"서울특별시 마포구 망원로7길 44-7, 1층 (망원동)",서울 마포구 망원동 479-24,CDFI2262212026000061,2026-02-13,영업/정상(영업중),37.5596765891738,126.904963536535,2
작전명 행복,외국인관광도시민박업,"서울특별시 마포구 연희로1길 55-6, 3층 (연남동)",서울 마포구 연남동 383-68,CDFI2262212026000068,2026-02-13,영업/정상(영업중),37.5613572689331,126.926061405643,2
파라솔스테이,외국인관광도시민박업,"서울특별시 마포구 양화진4길 4-4, 지층 (합정동)",서울 마포구 합정동 378-42,CDFI2262212026000065,2026-02-13,영업/정상(영업중),37.5475361543317,126.912134144647,2
아이엠 하우스,외국인관광도시민박업,"서울특별시 관악구 봉천로55길 11, 2층 (봉천동)",서울 관악구 봉천동 1667-61,CDFI2262212023000002,2023-05-12,영업/정상(영업중),37.481586868152,126.955687212376,2
nesty home,외국인관광도시민박업,"서울특별시 광진구 능동로13길 78-4, 201호 (화양동)",서울 광진구 화양동 16-31,CDFI2262212026000036,2026-03-06,영업/정상(영업중),37.5451263583085,127.06914006262,4
더 클래식,외국인관광도시민박업,"서울특별시 서대문구 홍연2길 16, 202호 (연희동, 더클래식 하우스)",서울 서대문구 연희동 703-15,CDFI2262212026000030,2026-02-13,영업/정상(영업중),37.5743266617599,126.928123802042,2
원스테이,외국인관광도시민박업,"서울특별시 송파구 오금로23길 8-3, 201호 (방이동)",서울 송파구 방이동 122-11,CDFI2262212026000024,2026-03-06,영업/정상(영업중),37.5093594324361,127.116168943696,2
민스테이2,외국인관광도시민박업,"서울특별시 마포구 월드컵북로8길 23, 502호 (연남동)",서울 마포구 연남동 487-410,CDFI2262212022000027,2022-04-14,영업/정상(영업중),37.5595573115744,126.918479135997,6
홍홈,외국인관광도시민박업,"서울특별시 마포구 동교로27길 44-10, 지층 102호 (연남동)",서울 마포구 연남동 567-54,CDFI2262212026000066,2026-02-13,영업/정상(영업중),37.5600458561077,126.921982099463,2
민스테이1,외국인관광도시민박업,"서울특별시 마포구 월드컵북로8길 23, 501호 (연남동)",서울 마포구 연남동 487-410,CDFI2262212022000023,2022-04-04,영업/정상(영업중),37.5595573115744,126.918479135997,6
우니스테이,외국인관광도시민박업,"서울특별시 서대문구 연희로2길 40, 202호 (창천동)",서울 서대문구 창천동 414,CDFI2262212026000041,2026-03-06,영업/정상(영업중),37.5600795208548,126.928030421719,5
하늘온,외국인관광도시민박업,"서울특별시 마포구 망원로7길 44-7, 2층 (망원동)",서울 마포구 망원동 479-24,CDFI2262212026000064,2026-02-13,영업/정상(영업중),37.5596765891738,126.904963536535,2
잠실의 하루,외국인관광도시민박업,"서울특별시 송파구 석촌호수로12길 49, 102호 (잠실동)",서울 송파구 잠실동 221-18,CDFI2262212023000024,2023-12-12,영업/정상(영업중),37.50825643913,127.081076876683,2
Maji's house,외국인관광도시민박업,"서울특별시 용산구 이태원로15길 33, 지층 102호 (이태원동, 운산빌라)",서울 용산구 이태원동 181-36,CDFI2262212016000016,2016-07-04,영업/정상(영업중),37.5353915902969,126.990000757231,2
Moon Stay,외국인관광도시민박업,"서울특별시 강동구 상암로5길 28, 101호 (암사동)",서울 강동구 암사동 503-15,CDFI2262212024000015,2024-05-14,영업/정상(영업중),37.5515748248399,127.127536014121,5
메종 후암,외국인관광도시민박업,"서울특별시 용산구 후암로4길 14-5, 301호 (후암동)",서울 용산구 후암동 254-74,CDFI2262212026000035,2026-02-23,영업/정상(영업중),37.5468611764806,126.979231223507,3
포근,외국인관광도시민박업,"서울특별시 강동구 구천면로34길 52, 에덴빌32차 302호 (천호동)",서울 강동구 천호동 210-18,CDFI2262212024000007,2024-03-29,영업/정상(영업중),37.5424180507441,127.134138994152,5
달마을스테이 102,외국인관광도시민박업,"서울특별시 양천구 목동중앙본로27길 33-1, 1층 (목동)",서울 양천구 목동 553-26,CDFI2262212026000005,2026-02-24,영업/정상(영업중),37.5440386688075,126.868415881153,2
네스트 인 망원 3,외국인관광도시민박업,"서울특별시 마포구 성미산로3가길 9, 3층 (성산동)",서울 마포구 성산동 254-21,CDFI2262212026000109,2026-02-27,영업/정상(영업중),37.5596256654753,126.908593159077,3
Casa-Golden,외국인관광도시민박업,"서울특별시 서대문구 신촌로3가길 16, 802호 (창천동)",서울 서대문구 창천동 503-22,CDFI2262212026000034,2026-02-24,영업/정상(영업중),37.5581969518079,126.929782635548,7
남산 203,외국인관광도시민박업,"서울특별시 중구 퇴계로6길 46-5, 2층 (남창동)",서울 중구 남창동 203-9,CDFI2262212026000017,2026-02-24,영업/정상(영업중),37.5562518588587,126.979393173386,2
남산 203 게스트하우스,외국인관광도시민박업,"서울특별시 중구 퇴계로6길 46-5, 1층 (남창동)",서울 중구 남창동 203-9,CDFI2262212026000016,2026-02-24,영업/정상(영업중),37.5562518588587,126.979393173386,2
모아라 스테이,외국인관광도시민박업,"서울특별시 서대문구 신촌로3나길 15-6, B102호 (창천동)",서울 서대문구 창천동 159-1,CDFI2262212026000036,2026-02-24,영업/정상(영업중),37.5589516105096,126.930669700605,2
스테이 블루,외국인관광도시민박업,"서울특별시 마포구 신촌로10길 35, 101호 (동교동)",서울 마포구 동교동 186-27,CDFI2262212026000088,2026-02-23,영업/정상(영업중),37.5551352141892,126.932304736402,3
헤븐리스테이서울,외국인관광도시민박업,"서울특별시 송파구 백제고분로44길 21-1, 대중빌라 지하1층 B02호 (송파동)",서울 송파구 송파동 118-31,CDFI2262212026000019,2026-02-19,영업/정상(영업중),37.5067470427891,127.112840781,3
아늑,외국인관광도시민박업,"서울특별시 용산구 이태원로23길 25-2, 102호 (이태원동)",서울 용산구 이태원동 116-13,CDFI2262212026000031,2026-02-20,영업/정상(영업중),37.5352415636053,126.992266801597,2
플라워니 스테이,외국인관광도시민박업,"서울특별시 종로구 낙산3길 19-7, 2층 202호 (동숭동)",서울 종로구 동숭동 129-223,CDFI2262212025000079,2025-06-27,영업/정상(영업중),37.5800453658265,127.006221940323,3
스마일 하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵북로48길 33-5, 1층 1호 (상암동)",서울 마포구 상암동 13-18,CDFI2262212023000113,2023-08-25,영업/정상(영업중),37.5774986141264,126.895247568146,3
홍제Min스테이,외국인관광도시민박업,서울특별시 서대문구 홍제내4길 4-9 (홍제동),서울 서대문구 홍제동 334-109,CDFI2262212026000032,2026-02-20,영업/정상(영업중),37.5873144952041,126.936635993626,2
윤지스테이,외국인관광도시민박업,"서울특별시 송파구 송파대로43길 23, 3층 303호 (석촌동)",서울 송파구 석촌동 283-1,CDFI2262212026000020,2026-02-20,영업/정상(영업중),37.5033444778543,127.10554094434,3
메모리 조선,외국인관광도시민박업,"서울특별시 마포구 동교로30길 9, 4층 (동교동)",서울 마포구 동교동 149-4,CDFI2262212026000132,2026-03-09,영업/정상(영업중),37.560513878337,126.924828453037,3
온 스테이 24,외국인관광도시민박업,"서울특별시 마포구 와우산로26길 58, 201호 (창전동, 살롬하우스)",서울 마포구 창전동 6-105,CDFI2262212026000130,2026-03-09,영업/정상(영업중),37.5530658038023,126.928634476657,8
제이와이스테이 2,외국인관광도시민박업,"서울특별시 마포구 성미산로11길 117, 202호 (성산동)",서울 마포구 성산동 23-4,CDFI2262212026000147,2026-03-11,영업/정상(영업중),37.5658232798949,126.915390850205,3
홍대플레이하우스,외국인관광도시민박업,"서울특별시 서대문구 신촌로3나길 24, 502호 (창천동)",서울 서대문구 창천동 501-11,CDFI2262212026000031,2026-02-20,영업/정상(영업중),37.5583280168627,126.930493268475,7
79스테이,외국인관광도시민박업,"서울특별시 동대문구 제기로20길 17, 3층 (제기동)",서울 동대문구 제기동 286-38,CDFI2262212026000006,2026-02-21,영업/정상(영업중),37.5858568835429,127.04166110854,2
번역가의 방,외국인관광도시민박업,"서울특별시 마포구 모래내로7길 74-5, 102호 (성산동)",서울 마포구 성산동 141-36,CDFI2262212026000128,2026-03-09,영업/정상(영업중),37.5680296184625,126.908945898363,2
스테이문 상수,외국인관광도시민박업,"서울특별시 마포구 와우산로 8-7, 1층 (상수동)",서울 마포구 상수동 345-10,CDFI2262212026000131,2026-03-09,영업/정상(영업중),37.5452740873727,126.923359465435,2
체크 포인트 홍대,외국인관광도시민박업,"서울특별시 마포구 와우산로26길 58, 401호 (창전동, 살롬하우스)",서울 마포구 창전동 6-105,CDFI2262212026000129,2026-03-09,영업/정상(영업중),37.5530658038023,126.928634476657,8
어반 헤이븐,외국인관광도시민박업,"서울특별시 서대문구 신촌로3나길 8-10, 303호 (창천동, 창천네오빌)",서울 서대문구 창천동 504-3,CDFI2262212026000043,2026-03-10,영업/정상(영업중),37.558569254034,126.929648509717,4
