업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude
아리아하우스,외국인관광도시민박업,"[157855] 서울특별시 강서구 방화대로37길 26, 102동 1101호 (방화동, 방화현대아파트)",CDFI3261142012000002,2012-12-11,영업/정상(영업중),37.5708039187178,126.81400178458
파파스테이(PAPA Stay),외국인관광도시민박업,"[157210] 서울특별시 강서구 양천로47길 94, 101동 1104호 (마곡동, 마곡금호어울림아파트)",CDFI3261142014000001,2014-03-19,영업/정상(영업중),37.574441814534,126.837207289666
나인가든,외국인관광도시민박업,"서울특별시 양천구 목동중앙남로16다길 5-14, 3층 (목동)",CDFI2262212026000006,2026-03-10,영업/정상(영업중),37.5428856529341,126.864819601259
선 스테이 창경,외국인관광도시민박업,"서울특별시 종로구 성균관로1길 12, 101호 (명륜3가)",CDFI2262212026000026,2026-03-09,영업/정상(영업중),37.5831376272952,126.997690408623
혜화 갤러리 아트,외국인관광도시민박업,"서울특별시 종로구 성균관로 62-11, 102호 (명륜1가)",CDFI2262212026000025,2026-03-09,영업/정상(영업중),37.5881423639529,126.997255931164
스테이 지음,외국인관광도시민박업,"서울특별시 강서구 공항대로8가길 2-16, B01호 (공항동)",CDFI2262212026000021,2026-03-10,영업/정상(영업중),37.5586236823038,126.812775902774
디얼 성수,외국인관광도시민박업,"서울특별시 성동구 성수이로5길 6-1, 3층 (성수동2가)",CDFI2262212026000021,2026-03-09,영업/정상(영업중),37.53671901409,127.053584022446
일상고요,외국인관광도시민박업,"서울특별시 중구 다산로33길 61-3, 1층 (신당동)",CDFI2262212026000024,2026-03-09,영업/정상(영업중),37.5634418635676,127.011683228644
메모리스테이 연남2호점,외국인관광도시민박업,"서울특별시 마포구 연남로7길 26, 1층 102호 (연남동)",CDFI2262212026000122,2026-03-04,영업/정상(영업중),37.5636921635547,126.918870101814
다솜하우스,외국인관광도시민박업,"서울특별시 강서구 강서로68길 108, 102동 503호 (등촌동, 동성아파트)",CDFI3261142012000003,2012-12-24,영업/정상(영업중),37.564667250559,126.845702434594
