업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태
아리아하우스,외국인관광도시민박업,"[157855] 서울특별시 강서구 방화대로37길 26, 102동 1101호 (방화동, 방화현대아파트)",CDFI3261142012000002,2012-12-11,영업/정상(영업중)
파파스테이(PAPA Stay),외국인관광도시민박업,"[157210] 서울특별시 강서구 양천로47길 94, 101동 1104호 (마곡동, 마곡금호어울림아파트)",CDFI3261142014000001,2014-03-19,영업/정상(영업중)
나인가든,외국인관광도시민박업,"서울특별시 양천구 목동중앙남로16다길 5-14, 3층 (목동)",CDFI2262212026000006,2026-03-10,영업/정상(영업중)
선 스테이 창경,외국인관광도시민박업,"서울특별시 종로구 성균관로1길 12, 101호 (명륜3가)",CDFI2262212026000026,2026-03-09,영업/정상(영업중)
혜화 갤러리 아트,외국인관광도시민박업,"서울특별시 종로구 성균관로 62-11, 102호 (명륜1가)",CDFI2262212026000025,2026-03-09,영업/정상(영업중)
스테이 지음,외국인관광도시민박업,"서울특별시 강서구 공항대로8가길 2-16, B01호 (공항동)",CDFI2262212026000021,2026-03-10,영업/정상(영업중)
디얼 성수,외국인관광도시민박업,"서울특별시 성동구 성수이로5길 6-1, 3층 (성수동2가)",CDFI2262212026000021,2026-03-09,영업/정상(영업중)
일상고요,외국인관광도시민박업,"서울특별시 중구 다산로33길 61-3, 1층 (신당동)",CDFI2262212026000024,2026-03-09,영업/정상(영업중)
메모리스테이 연남2호점,외국인관광도시민박업,"서울특별시 마포구 연남로7길 26, 1층 102호 (연남동)",CDFI2262212026000122,2026-03-04,영업/정상(영업중)
다솜하우스,외국인관광도시민박업,"서울특별시 강서구 강서로68길 108, 102동 503호 (등촌동, 동성아파트)",CDFI3261142012000003,2012-12-24,영업/정상(영업중)
경화 더하우스,외국인관광도시민박업,"서울특별시 은평구 갈현로36길 8, 401호 (갈현동, 경화주택)",CDFI2262212026000021,2026-03-09,영업/정상(영업중)
해피하우스,외국인관광도시민박업,"[157839] 서울특별시 강서구 양천로62길 41, 201동 1408호 (등촌동)",CDFI3261142013000002,2013-02-21,영업/정상(영업중)
명륜 홈스테이,외국인관광도시민박업,"서울특별시 종로구 명륜2길 40-18, 301호 (명륜3가)",CDFI2262212026000023,2026-03-09,영업/정상(영업중)
스테이 담소,외국인관광도시민박업,"서울특별시 강동구 양재대로95길 29, 5층 501호 (성내동)",CDFI2262212026000017,2026-03-10,영업/정상(영업중)
김사장 하우스-DDM,외국인관광도시민박업,"서울특별시 동대문구 천호대로24길 38, B101호 (용두동)",CDFI2262212026000010,2026-03-10,영업/정상(영업중)
유오스테이,외국인관광도시민박업,"서울특별시 강서구 공항대로65가길 19-1, 102동 302호 (염창동, 리치웰강서)",CDFI2262212026000020,2026-03-10,영업/정상(영업중)
제이씨하우스(JC House),외국인관광도시민박업,"[157851] 서울특별시 강서구 금낭화로7길 32, 5층 (방화동)",CDFI3261142015000001,2015-03-04,영업/정상(영업중)
