번호,업소명,업체 주소,건물 지번주소,월세 카운트,전세 카운트
1,더심플하우스,"[157811] 서울특별시 강서구 공항대로5길 34, 3층 (공항동)",서울 강서구 공항동 24-4,1,0
2,LUMINA,"서울특별시 마포구 월드컵로11길 72, 4층 401호 (망원동)",서울 마포구 망원동 413-50,0,3
3,3베드 레지던스역삼,"서울특별시 강남구 역삼로17길 35, 402호 (역삼동, 더클래스)",서울 강남구 역삼동 744-17,0,2
4,스테이 감,"서울특별시 동대문구 망우로12라길 38, 203호 (휘경동, 로즈힐)",서울 동대문구 휘경동 295-84,1,0
5,미까사,"서울특별시 송파구 삼학사로8길 23, 303호 (석촌동)",서울 송파구 석촌동 230-18,2,0
6,망원루,"서울특별시 마포구 월드컵로11길 72, 5층 502호 (망원동)",서울 마포구 망원동 413-50,0,3
7,코맘하우스,"서울특별시 강남구 역삼로17길 35, 401호 (역삼동, 더클래스)",서울 강남구 역삼동 744-17,0,2
8,지제이(GJ),"서울특별시 강남구 역삼로5길 9-1, 401호 (역삼동)",서울 강남구 역삼동 830-18,1,0
9,Maison de Jann,"서울특별시 광진구 자양로6길 50, B01호 (자양동)",서울 광진구 자양동 684-7,1,0
10,flat home,"서울특별시 도봉구 도봉로134길 22, 애스테이 101동 401호 (창동)",서울 도봉구 창동 731-123,0,1
11,늘솜 스테이(서울),"서울특별시 중랑구 사가정로52길 37, 102동 5층 501호 (면목동, ES팰리스)",서울 중랑구 면목동 633-3,5,0
12,고요,"서울특별시 중랑구 사가정로52길 37, 102동 7층 704호 (면목동, ES팰리스)",서울 중랑구 면목동 633-3,5,0
13,하루스테이,"서울특별시 강서구 공항대로5길 34, 102호 (공항동)",서울 강서구 공항동 24-4,1,0
14,컴피화곡,"서울특별시 강서구 화곡로33길 5-13, 202호 (화곡동)",서울 강서구 화곡동 111-50,1,0
15,사가정 모던하우스,"서울특별시 중랑구 사가정로52길 37, 102동 8층 802호 (면목동, ES팰리스)",서울 중랑구 면목동 633-3,5,0
16,오드리하우스,"서울특별시 중랑구 사가정로52길 37, 102동 4층 404호 (면목동, ES팰리스)",서울 중랑구 면목동 633-3,5,0
17,온기스테이,"서울특별시 마포구 월드컵로11길 72, 5층 501호 (망원동)",서울 마포구 망원동 413-50,0,3
18,스테이 서울바이브,"서울특별시 마포구 월드컵로11길 72, 6층 601호 (망원동)",서울 마포구 망원동 413-50,0,3
19,레이크 게스트하우스,[138842] 서울특별시 송파구 삼학사로14길 24-1 (석촌동),서울 송파구 석촌동 16-7,1,0
20,My Holiday Seongsu,"서울특별시 광진구 동일로10다길 13-5, 203호 (자양동, 엘케이플레이스8차)",서울 광진구 자양동 842-32,3,2
21,CB 어반 스테이,"서울특별시 광진구 동일로10다길 13-5, 202호 (자양동, 엘케이플레이스8차)",서울 광진구 자양동 842-32,3,2
22,소소담,"서울특별시 광진구 동일로10다길 13-5, 402호 (자양동, 엘케이플레이스8차)",서울 광진구 자양동 842-32,3,2
23,윈드로드 앤 플라워 게스트하우스(Windroad & Flower Guesthouse,"[110812] 서울특별시 종로구 창경궁로27길 66-12, 201호 (명륜3가)",서울 종로구 명륜3가 85-5,0,1
24,서울 타이완 게스트하우스2,"서울특별시 중구 퇴계로10길 20-14, 전층 (회현동1가)",서울 중구 회현동1가 88-3,0,1
25,인터프렌즈,"서울특별시 강남구 논현로121길 61, B102호 (논현동)",서울 강남구 논현동 172-1,3,0
26,잠실 홈스테이,서울특별시 송파구 도곡로64길 32-1 (잠실동),서울 송파구 잠실동 309-13,1,0
27,스테이 노브(Stay NOV),"서울특별시 송파구 백제고분로46길 4-17, B03호 (송파동)",서울 송파구 송파동 133-14,1,0
28,WOOSOO604,"서울특별시 중랑구 사가정로52길 37, 102동 604호 (면목동, ES팰리스)",서울 중랑구 면목동 633-3,5,0
